cd_grupo;nm_grupo;nm_razao_social;nr_cnpj;ds_status;fl_status;fl_pre_agendamento;ds_pre_agendamento;fl_esocial_automatico;ds_esocial_automatico;dt_minima_eventos;cd_assinatura;cd_user_cadm;nm_user_cadm;ts_user_cadm;cd_user_manu;nm_user_manu;ts_user_manu
12930;Lume Engenharia E Consultoria;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;04/01/2022 16:16;3068;Anderson Moraes Bompadre;04/01/2022 16:16
13234;The Ideias Artes Gráficas Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;06/01/2022 14:55;3068;Anderson Moraes Bompadre;19/03/2023 17:49
28002;Igreja Presbiteriana Independente do Brasil;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;16/02/2022 07:59;3068;Anderson Moraes Bompadre;16/02/2022 17:52
28220;Kawa Equipamentos E Acessorios Para Solda Eireli;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;16/02/2022 16:49;3068;Anderson Moraes Bompadre;13/03/2025 15:21
28225;Cnp Manutencao E Instalacoes Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;16/02/2022 17:04;3068;Anderson Moraes Bompadre;16/02/2022 17:04
28254;Fabio Rodrigues de Freitas;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;16/02/2022 17:55;3068;Anderson Moraes Bompadre;17/02/2022 19:30
28258;Infomatiq Solucoes Em Tecnologia Eireli;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;16/02/2022 18:03;3068;Anderson Moraes Bompadre;22/02/2023 15:46
28579;UNIMEF - UNIDADE DE MEDICINA FETAL DE SAO PAULO;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;17/02/2022 19:07;16794;Adm - Lume;04/10/2024 08:23
31598;VIVA INTIMA LINGERIE COMERCIO E DISTRIBUIDORA DE R;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;12/03/2022 06:22;3068;Anderson Moraes Bompadre;12/03/2022 06:22
31650;Infosolda Serviços Industriais Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;13/03/2022 05:39;3068;Anderson Moraes Bompadre;13/03/2022 05:39
31651;MELK COSMETICOS;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;13/03/2022 06:45;3068;Anderson Moraes Bompadre;13/03/2022 06:45
32226;Marisa Mandarino Artigos Para Atacado e Varejo;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;18/03/2022 06:21;3068;Anderson Moraes Bompadre;18/03/2022 06:21
32227;Condomínio Edifício São Pedro;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;18/03/2022 07:18;3068;Anderson Moraes Bompadre;22/03/2023 11:22
32229;Audicap Contabilidade S/A;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;18/03/2022 08:04;3068;Anderson Moraes Bompadre;08/09/2022 10:45
32252;AMFB Comércio de Materiais Para Laboratórios Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;18/03/2022 11:08;16794;Adm - Lume;05/11/2025 11:27
34826;CENTRO DE INFORMACAO E APOIO AO TRABALHADOR NO EXT;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;21/04/2022 09:43;3068;Anderson Moraes Bompadre;09/07/2023 08:30
34915;DUMONT RESIDENCE;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;23/04/2022 08:24;3068;Anderson Moraes Bompadre;25/07/2023 11:24
34917;ECOPYRE INDUSTRIA E COMERCIO DE ARTIGOS DE ILUMINA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;23/04/2022 09:33;3068;Anderson Moraes Bompadre;23/04/2022 09:33
37790;Consultiva Contabilidade;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;13/06/2022 15:29;3068;Anderson Moraes Bompadre;13/06/2022 15:29
38024;Condomínio Edifício Antônio Duarte;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;20/06/2022 09:19;3068;Anderson Moraes Bompadre;19/03/2023 13:29
38031;MABRUK SAUDE ODONTOLOGIA LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;20/06/2022 11:09;3068;Anderson Moraes Bompadre;20/06/2022 11:09
38032;CONDOMINIO EDIFICIO GUIARA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;20/06/2022 11:21;3068;Anderson Moraes Bompadre;25/07/2023 11:25
38043;Eliana Cordeiro Amarante;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;20/06/2022 13:27;16794;Adm - Lume;10/04/2024 11:41
38047;MATIAS PROTESE DENTARIA LTDA - ME;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;20/06/2022 14:11;3068;Anderson Moraes Bompadre;20/06/2022 14:11
38097;TRANSMYM TRANSPORTE LOGISTICA E CONSERTO DE PALLET;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;21/06/2022 13:24;3068;Anderson Moraes Bompadre;21/06/2022 13:24
38100;SEAMED MATERIAIS HOSPITALARES LTDA;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;21/06/2022 13:48;3068;Anderson Moraes Bompadre;21/06/2022 13:48
38105;OG STANDS PROMOCIONAIS LOCACOES E EMPREENDIMENTOS;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;21/06/2022 13:59;16794;Adm - Lume;30/09/2024 08:26
38108;VETMINAS PRODUTOS VETERINARIOS LTDA.;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;21/06/2022 14:11;16794;Adm - Lume;25/09/2024 16:06
38773;Ótica Aclimação;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;05/07/2022 09:43;3068;Anderson Moraes Bompadre;05/07/2022 09:43
38816;LUCILENE CARVALHO MEDEIROS CALIARI;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;06/07/2022 09:12;3068;Anderson Moraes Bompadre;06/07/2022 09:12
39828;Bem Estar Hospitalar;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/07/2022 11:03;16794;Adm - Lume;02/09/2024 10:46
39836;Wally Lordes Pereira;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;27/07/2022 12:00;3068;Anderson Moraes Bompadre;08/05/2023 19:14
