"Grupo_Nome","Empresa_Nome","Unidade_Nome","Setor_Nome","Funcao_Nome","Ativo"
"Igreja Presbiteriana Independente do Brasil","IGREJA PRESBITERIANA INDEPENDENTE DO BRASIL","IGREJA PRESBITERIANA INDEPENDENTE DO BRASIL","Manutenção","Zelador","true"
"Igreja Presbiteriana Independente do Brasil","IGREJA PRESBITERIANA INDEPENDENTE DO BRASIL","IGREJA PRESBITERIANA INDEPENDENTE DO BRASIL","Secretaria Geral","Assistente de Secretário Geral","true"
"Igreja Presbiteriana Independente do Brasil","IGREJA PRESBITERIANA INDEPENDENTE DO BRASIL","IGREJA PRESBITERIANA INDEPENDENTE DO BRASIL","Acampamento Cristo é Vida","Caseiro","true"
"UNIMEF - UNIDADE DE MEDICINA FETAL DE SAO PAULO","UNIMEF - UNIDADE DE MEDICINA FETAL DE SAO PAULO S/S LTDA","UNIMEF - UNIDADE DE MEDICINA FETAL DE SAO PAULO S/S LTDA","Recepção","Recepcionista","true"
"The Ideias Artes Gráficas Ltda","The Ideias Artes Gráficas Ltda","The Ideias Artes Gráficas Ltda","ADMINISTRATIVO","GERENTE ADMINISTRATIVO","true"
"Audicap Contabilidade S/A","Audicap Contabilidade S/A","Audicap Contabilidade S/A","Operacional","Analista Contábil","true"
"Audicap Contabilidade S/A","Centro de Inf. e Apoio ao Trabalhador no Exterior","Centro de Inf. e Apoio ao Trabalhador no Exterior","Administrativo","Coordenador Administrativo","true"
"Audicap Contabilidade S/A","EVERSON DE PADUA RIBEIRO","EVERSON DE PADUA RIBEIRO","BSGI - Liberdade","Jardineiro","true"
"Audicap Contabilidade S/A","EVERSON DE PADUA RIBEIRO","EVERSON DE PADUA RIBEIRO","BSGI - Aldeia da Serra","Auxiliar de jardineiro","true"
"ECOPYRE INDUSTRIA E COMERCIO DE ARTIGOS DE ILUMINA","ECOPYRE INDUSTRIA E COMERCIO DE ARTIGOS DE ILUMINA","ECOPYRE INDUSTRIA E COMERCIO DE ARTIGOS DE ILUMINA","Geral","Ajudante Geral","true"
"Consultiva Contabilidade","Jean-Marc Pohli","Jean-Marc Pohli","Recepção","Recepcionista","true"
"MELK COSMETICOS","MELK COSMETICOS","MELK COSMETICOS","Produção","Auxiliar de Pesagem","true"
"TRANSMYM TRANSPORTE LOGISTICA E CONSERTO DE PALLET","TRANSMYM TRANSPORTE LOGISTICA E CONSERTO DE PALLET","TRANSMYM TRANSPORTE LOGISTICA E CONSERTO DE PALLET","Produção","Ajudante Geral","true"
"MELK COSMETICOS","MELK COSMETICOS","MELK COSMETICOS","Prod. e Laboratório","Químico Cosmetólogo","true"
"MELK COSMETICOS","MELK COSMETICOS","MELK COSMETICOS","Produção","Auxiliar de Linha de Produção I","true"
"MELK COSMETICOS","MELK COSMETICOS","MELK COSMETICOS","Administrativo","Assistente Administrativo","true"
"VETMINAS PRODUTOS VETERINARIOS LTDA.","VETMINAS PRODUTOS VETERINARIOS LTDA.","VETMINAS PRODUTOS VETERINARIOS LTDA","Supervisora/Supervisor","Supervisor(a) de Vendas II A - Setor: Supervisora/Supervisor","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0004-68","Loja","Vendedor","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0010-06","Loja","Gerente","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","Loja","Vendedor","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","Loja","Gerente","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","Loja","Caixa","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0010-06","Escritório","Auxiliar de Escrita Fiscal","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0010-06","Loja","Vendedor","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","Montagem","Montador de Cabos","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MATERIAIS LTDA","Loja","Vendedor","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MATERIAIS LTDA","Loja","Sub Gerente","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MATERIAIS LTDA","Expedição","Assistente de Expedição","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MATERIAIS LTDA","Expedição","Auxiliar de Site 1","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0011-97","Expedição","Auxiliar de Expedição","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MATERIAIS LTDA","Escritório","Auxiliar de Escritório","true"
"Ninja Grupo","NINJA SOM COMERCIO DE ELETRONICOS - 0001-15","NINJA SOM COMERCIO DE ELETRONICOS E MAT- 0006-20","Loja","Caixa","true"
