
cnae_tronco,cnae_completo,descricao_cnae,grau_risco,fonte
01113,0111-3/01,Cultivo de arroz,3,NR-4 2023
01113,0111-3/02,Cultivo de milho,3,NR-4 2023
01113,0111-3/03,Cultivo de trigo,3,NR-4 2023
01113,0111-3/99,Cultivo de outros cereais não especificados anteriormente,3,NR-4 2023
01121,0112-1/01,Cultivo de algodão herbáceo,3,NR-4 2023
01121,0112-1/02,Cultivo de juta,3,NR-4 2023
01121,0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,3,NR-4 2023
01130,0113-0/00,Cultivo de cana-de-açúcar,3,NR-4 2023
01148,0114-8/00,Cultivo de fumo,3,NR-4 2023
01156,0115-6/00,Cultivo de soja,3,NR-4 2023
01164,0116-4/01,Cultivo de amendoim,3,NR-4 2023
01164,0116-4/02,Cultivo de girassol,3,NR-4 2023
01164,0116-4/03,Cultivo de mamona,3,NR-4 2023
01164,0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,3,NR-4 2023
01199,0119-9/01,Cultivo de abacaxi,2,NR-4 2023
01199,0119-9/02,Cultivo de alho,2,NR-4 2023
01199,0119-9/03,Cultivo de batata-inglesa,2,NR-4 2023
01199,0119-9/04,Cultivo de cebola,2,NR-4 2023
01199,0119-9/05,Cultivo de feijão,2,NR-4 2023
01199,0119-9/06,Cultivo de mandioca,2,NR-4 2023
01199,0119-9/07,Cultivo de melão,2,NR-4 2023
01199,0119-9/08,Cultivo de melancia,2,NR-4 2023
01199,0119-9/09,Cultivo de tomate rasteiro,2,NR-4 2023
01199,0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,2,NR-4 2023
01211,0121-1/01,"Horticultura, exceto morango",3,NR-4 2023
01211,0121-1/02,Cultivo de morango,3,NR-4 2023
01229,0122-9/00,Cultivo de flores e plantas ornamentais,3,NR-4 2023
01318,0131-8/00,Cultivo de laranja,3,NR-4 2023
01326,0132-6/00,Cultivo de uva,3,NR-4 2023
01334,0133-4/01,Cultivo de açaí,3,NR-4 2023
01334,0133-4/02,Cultivo de banana,3,NR-4 2023
01334,0133-4/03,Cultivo de caju,3,NR-4 2023
01334,0133-4/04,"Cultivo de cítricos, exceto laranja",3,NR-4 2023
01334,0133-4/05,Cultivo de coco-da-baía,3,NR-4 2023
01334,0133-4/06,Cultivo de guaraná,3,NR-4 2023
01334,0133-4/07,Cultivo de maçã,3,NR-4 2023
01334,0133-4/08,Cultivo de mamão,3,NR-4 2023
01334,0133-4/09,Cultivo de maracujá,3,NR-4 2023
01334,0133-4/10,Cultivo de manga,3,NR-4 2023
01334,0133-4/11,Cultivo de pêssego,3,NR-4 2023
01334,0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,3,NR-4 2023
01342,0134-2/00,Cultivo de café,3,NR-4 2023
01351,0135-1/00,Cultivo de cacau,3,NR-4 2023
01393,0139-3/01,Cultivo de chá-da-índia,4,NR-4 2023
01393,0139-3/02,Cultivo de erva-mate,4,NR-4 2023
01393,0139-3/03,Cultivo de pimenta-do-reino,4,NR-4 2023
01393,0139-3/04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",4,NR-4 2023
01393,0139-3/05,Cultivo de dendê,4,NR-4 2023
01393,0139-3/06,Cultivo de seringueira,4,NR-4 2023
01393,0139-3/99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,4,NR-4 2023
01415,0141-5/01,"Produção de sementes certificadas, exceto de forrageiras para pasto",3,NR-4 2023
01415,0141-5/02,Produção de sementes certificadas de forrageiras para formação de pasto,3,NR-4 2023
01423,0142-3/00,"Produção de mudas e outras formas de propagação vegetal, certificadas",3,NR-4 2023
01512,0151-2/01,Criação de bovinos para corte,3,NR-4 2023
01512,0151-2/02,Criação de bovinos para leite,3,NR-4 2023
01512,0151-2/03,"Criação de bovinos, exceto para corte e leite",3,NR-4 2023
01521,0152-1/01,Criação de bufalinos,3,NR-4 2023
01521,0152-1/02,Criação de equinos,3,NR-4 2023
01521,0152-1/03,Criação de asininos e muares,3,NR-4 2023
01539,0153-9/01,Criação de caprinos,3,NR-4 2023
01539,0153-9/02,"Criação de ovinos, inclusive para produção de lã",3,NR-4 2023
01547,0154-7/00,Criação de suínos,3,NR-4 2023
01555,0155-5/01,Criação de frangos para corte,3,NR-4 2023
01555,0155-5/02,Produção de pintos de um dia,3,NR-4 2023
01555,0155-5/03,"Criação de outros galináceos, exceto para corte",3,NR-4 2023
01555,0155-5/04,"Criação de aves, exceto galináceos",3,NR-4 2023
01555,0155-5/05,Produção de ovos,3,NR-4 2023
01598,0159-8/01,Apicultura,3,NR-4 2023
01598,0159-8/02,Criação de animais de estimação,3,NR-4 2023
01598,0159-8/03,Criação de escargô,3,NR-4 2023
01598,0159-8/04,Criação de bicho-da-seda,3,NR-4 2023
01598,0159-8/99,Criação de outros animais não especificados anteriormente,3,NR-4 2023
01610,0161-0/01,Serviço de pulverização e controle de pragas agrícolas,3,NR-4 2023
01610,0161-0/02,Serviço de poda de árvores para lavouras,3,NR-4 2023
01610,0161-0/03,"Serviço de preparação de terreno, cultivo e colheita",3,NR-4 2023
01610,0161-0/99,Atividades de apoio à agricultura não especificadas anteriormente,3,NR-4 2023
01628,0162-8/01,Serviço de inseminação artificial em animais,3,NR-4 2023
01628,0162-8/02,Serviço de tosquiamento de ovinos,3,NR-4 2023
01628,0162-8/03,Serviço de manejo de animais,3,NR-4 2023
01628,0162-8/99,Atividades de apoio à pecuária não especificadas anteriormente,3,NR-4 2023
01636,0163-6/00,Atividades de pós-colheita,3,NR-4 2023
01709,0170-9/00,Caça e serviços relacionados,1,NR-4 2023
02101,0210-1/01,Cultivo de eucalipto,2,NR-4 2023
02101,0210-1/02,Cultivo de acácia-negra,2,NR-4 2023
02101,0210-1/03,Cultivo de pinus,2,NR-4 2023
02101,0210-1/04,Cultivo de teca,2,NR-4 2023
02101,0210-1/05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",2,NR-4 2023
02101,0210-1/06,Cultivo de mudas em viveiros florestais,2,NR-4 2023
02101,0210-1/07,Extração de madeira em florestas plantadas,2,NR-4 2023
02101,0210-1/08,Produção de carvão vegetal - florestas plantadas,2,NR-4 2023
02101,0210-1/09,Produção de casca de acácia-negra - florestas plantadas,2,NR-4 2023
02101,0210-1/99,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,2,NR-4 2023
02209,0220-9/01,Extração de madeira em florestas nativas,3,NR-4 2023
02209,0220-9/02,Produção de carvão vegetal - florestas nativas,3,NR-4 2023
02209,0220-9/03,Coleta de castanha-do-pará em florestas nativas,3,NR-4 2023
02209,0220-9/04,Coleta de látex em florestas nativas,3,NR-4 2023
02209,0220-9/05,Coleta de palmito em florestas nativas,3,NR-4 2023
02209,0220-9/06,Conservação de florestas nativas,3,NR-4 2023
02209,0220-9/99,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,3,NR-4 2023
02306,0230-6/00,Atividades de apoio à produção florestal,1,NR-4 2023
03124,0312-4/01,Pesca de peixes em água doce,2,NR-4 2023
03124,0312-4/02,Pesca de crustáceos e moluscos em água doce,2,NR-4 2023
03124,0312-4/03,Coleta de outros produtos aquáticos de água doce,2,NR-4 2023
03124,0312-4/04,Atividades de apoio à pesca em água doce,2,NR-4 2023
06000,0600-0/01,Extração de petróleo e gás natural,1,NR-4 2023
06000,0600-0/02,Extração e beneficiamento de xisto,1,NR-4 2023
06000,0600-0/03,Extração e beneficiamento de areias betuminosas,1,NR-4 2023
07103,0710-3/01,Extração de minério de ferro,2,NR-4 2023
07103,0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",2,NR-4 2023
07294,0729-4/01,Extração de minérios de nióbio e titânio,1,NR-4 2023
07294,0729-4/02,Extração de minério de tungstênio,1,NR-4 2023
07294,0729-4/03,Extração de minério de níquel,1,NR-4 2023
07294,0729-4/04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",1,NR-4 2023
07294,0729-4/05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",1,NR-4 2023
08991,0899-1/01,Extração de grafita,1,NR-4 2023
08991,0899-1/02,Extração de quartzo,1,NR-4 2023
08991,0899-1/03,Extração de amianto,1,NR-4 2023
08991,0899-1/99,Extração de outros minerais não metálicos não especificados anteriormente,1,NR-4 2023
09904,0990-4/01,Atividades de apoio à extração de minério de ferro,1,NR-4 2023
09904,0990-4/02,Atividades de apoio à extração de minerais metálicos não ferrosos,1,NR-4 2023
09904,0990-4/03,Atividades de apoio à extração de minerais não metálicos,1,NR-4 2023
10121,1012-1/01,Abate de aves,3,NR-4 2023
10121,1012-1/02,Abate de pequenos animais,3,NR-4 2023
10121,1012-1/03,Frigorífico - abate de suínos,3,NR-4 2023
10121,1012-1/04,Matadouro - abate de suínos sob contrato,3,NR-4 2023
10139,1013-9/01,Fabricação de produtos de carne,2,NR-4 2023
10139,1013-9/02,Preparação de subprodutos do abate,2,NR-4 2023
10201,1020-1/01,"Preservação de peixes, crustáceos e moluscos",3,NR-4 2023
10201,1020-1/02,"Fabricação de conservas de peixes, crustáceos e moluscos",3,NR-4 2023
10333,1033-3/01,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",4,NR-4 2023
10333,1033-3/02,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",4,NR-4 2023
10996,1099-6/01,Fabricação de vinagres,1,NR-4 2023
10996,1099-6/02,Fabricação de pós-alimentícios,1,NR-4 2023
